,index,num_bed,num_bath,size_house,size_lot,num_floors,is_waterfront,condition,size_basement,year_built,renovation_date,zip,latitude,longitude,avg_size_neighbor_houses,avg_size_neighbor_lot,price
7223,7223,4,2.5,2170,19785,2.0,0,3,0,1992,0,98031,47.40335525,-122.1668648,2280,8616,340000
3735,3735,3,1.0,1160,4360,1.0,0,4,0,1929,0,98105,47.67177663,-122.2905738,1810,4360,501000
3187,3187,3,2.5,1710,1296,3.0,0,3,200,2004,0,98103,47.69629389,-122.3416592,1610,1282,416000
13569,13569,4,2.0,2010,9474,2.0,0,3,0,1953,2003,98166,47.42336616,-122.341628,2140,10164,410000
17195,17195,4,2.5,2718,6197,2.0,0,3,0,2006,0,98092,47.32551894,-122.16394,2667,5000,388500
15529,15529,5,3.0,2370,6000,1.5,0,3,1030,1926,2003,98107,47.66452482,-122.3583506,1350,4500,770000
6621,6621,4,1.5,2650,34000,2.0,0,4,0,1930,0,98028,47.75164055,-122.2372777,1960,34000,615000
315,315,3,2.0,1840,40438,2.0,0,3,0,1994,0,98045,47.48529093,-121.708567,1380,44049,465000
5672,5672,4,2.25,2410,4250,1.5,0,5,950,1929,0,98117,47.68486525,-122.3756684,1360,5074,735000
14984,14984,3,3.0,3030,5156,1.5,0,4,950,1929,0,98119,47.64702148,-122.3686953,1910,5720,879000
13118,13118,2,1.0,700,4836,1.0,0,4,0,1926,0,98125,47.71392474,-122.2876494,1190,7050,380000
9787,9787,4,1.5,1820,17918,1.0,0,4,630,1962,0,98056,47.52101889,-122.1789871,1890,15241,429900
2418,2418,5,2.0,2280,3600,2.0,0,3,0,1992,0,98122,47.60561801,-122.3047426,1740,1800,534000
4126,4126,2,1.0,800,3090,1.0,0,4,0,1925,0,98118,47.55176572,-122.2771043,1400,3090,339950
6133,6133,2,2.0,870,6450,1.0,0,4,130,1954,0,98118,47.53540258,-122.277777,1640,5775,235000
3382,3382,3,2.25,2080,111513,1.5,0,3,400,1977,0,98072,47.74032249,-122.1123685,2440,107157,450000
9541,9541,3,2.75,2500,7378,1.0,0,5,1110,1948,0,98177,47.70318571,-122.3704419,2040,7140,700000
9571,9571,3,2.25,1830,8831,1.0,0,3,370,1979,0,98034,47.72857816,-122.2150003,2330,8064,431000
812,812,4,2.5,3130,13202,2.0,0,3,0,1996,0,98075,47.58776606,-121.975576,2840,10470,851000
12869,12869,4,2.5,2370,7274,2.0,0,3,0,1997,0,98031,47.39815515,-122.1712203,2090,7656,351000
3799,3799,3,1.75,1540,6273,1.0,0,4,770,1951,0,98118,47.53054707,-122.2766742,1140,5512,263500
15125,15125,3,2.5,1340,4200,2.0,0,3,0,2002,0,98002,47.2942493,-122.2258489,990,4520,217000
10503,10503,3,2.25,1510,9600,1.0,0,1,420,1966,0,98028,47.775797,-122.2376569,1870,10681,196000
13058,13058,3,3.25,1600,1882,2.0,0,3,240,2000,0,98133,47.71511051,-122.3552249,1390,1379,345000
10864,10864,5,3.0,2970,7000,1.0,0,3,1160,1979,0,98023,47.30789341,-122.3405445,2630,8062,320000
3621,3621,3,2.5,1920,4480,2.0,0,3,0,1949,1997,98119,47.64724873,-122.3728437,1790,4500,1011000
2077,2077,4,2.5,3640,10576,2.0,0,3,0,1999,0,98075,47.58989289,-121.9791709,3370,10351,913000
8543,8543,2,1.0,750,5120,1.0,0,4,0,1941,0,98126,47.53122477,-122.3749659,930,7200,300000
18168,18168,3,3.25,1560,1345,2.0,0,3,300,2009,0,98126,47.56373947,-122.3750816,1560,4800,448000
15971,15971,6,1.75,2230,10080,1.0,0,3,840,1969,0,98034,47.70890654,-122.2007916,2110,8475,360000
6599,6599,3,1.0,1440,27505,1.0,0,3,0,1951,0,98177,47.75534563,-122.3703476,2430,16400,530000
10593,10593,3,1.5,1300,7885,1.0,0,3,0,1968,0,98055,47.45561598,-122.2093637,1840,7600,263000
12186,12186,5,3.5,2980,5809,2.0,0,3,0,2005,0,98029,47.5536764,-121.995669,2120,3416,750000
11473,11473,2,1.0,830,4000,1.0,0,4,0,1947,0,98117,47.69085616,-122.3814012,1420,4000,455000
12391,12391,4,1.75,1540,5120,1.0,0,5,770,1943,0,98126,47.53593597,-122.3722854,1080,5120,395000
7270,7270,1,1.0,900,6380,1.0,0,3,0,1947,0,98125,47.70193055,-122.3106129,1830,6380,350000
750,750,4,2.25,1800,9350,1.0,0,3,0,1969,0,98092,47.29586486,-122.1906574,2060,8800,225000
2425,2425,3,2.0,1760,43575,1.0,0,3,600,1988,0,98010,47.35647564,-121.93999,1760,46038,322000
13097,13097,4,2.5,3440,14554,2.0,1,3,1270,2012,0,98155,47.73635925,-122.2857193,3170,11810,1950000
9191,9191,2,1.0,830,7200,1.0,0,2,0,1920,0,98118,47.56040626,-122.2752202,1150,6600,200000
12675,12675,3,3.25,1720,1587,2.5,0,3,310,2004,0,98122,47.61868663,-122.2989277,1490,1620,638000
15665,15665,3,1.75,2240,6050,1.0,0,4,990,1950,0,98116,47.56579674,-122.4004951,1720,6050,625000
2906,2906,4,2.5,2270,7665,2.0,0,3,0,1986,0,98052,47.66116797,-122.1481075,2450,8706,732350
15816,15816,3,3.25,1510,1850,2.0,0,3,280,2001,0,98107,47.66833881,-122.3616454,1540,1840,465000
18161,18161,4,2.5,1750,4779,2.0,0,3,0,2009,0,98028,47.76080723,-122.232315,1580,4687,415500
16311,16311,3,2.75,1890,3930,2.0,0,3,0,1999,0,98065,47.53369993,-121.8666839,2100,4259,375000
14289,14289,4,2.75,3250,5500,2.0,0,3,0,2007,0,98027,47.53978115,-121.9968431,3920,6000,800000
11856,11856,3,1.0,1130,5758,1.0,0,3,170,1939,0,98199,47.64133363,-122.4014155,1510,6000,485000
143,143,4,2.5,2680,4499,2.0,0,3,0,1999,0,98006,47.56495249,-122.1245714,2920,4500,807100
11498,11498,3,3.0,2400,3192,2.0,0,3,0,1991,0,98103,47.6963161,-122.3482314,1360,3192,570000
13093,13093,3,2.0,1850,9570,1.0,0,4,900,1940,0,98115,47.69695061,-122.3219187,1430,6380,547500
5414,5414,3,2.5,2040,9622,2.0,0,3,0,1995,0,98045,47.48332597,-121.8004927,2390,9868,490000
14327,14327,3,1.75,2710,9088,1.0,0,4,650,1965,0,98001,47.30731325,-122.2718755,1690,10454,278000
8246,8246,2,2.5,2730,7246,2.0,0,3,0,1998,0,98056,47.51196176,-122.1746007,3220,7214,535000
12769,12769,4,1.75,4060,4000,2.0,0,3,1170,1953,1995,98199,47.63745614,-122.3893313,1860,4000,970000
3160,3160,7,4.75,5370,10800,1.5,0,3,0,1967,0,98040,47.53796668,-122.2228527,2310,10910,884900
362,362,3,2.5,2250,11632,2.0,0,3,0,1988,0,98056,47.52717895,-122.1688903,2360,11632,538000
1720,1720,4,2.5,2380,7850,2.0,0,3,0,1995,0,98055,47.43564437,-122.2014396,1940,7334,340000
18077,18077,4,3.5,3460,7702,2.0,0,3,0,2010,0,98075,47.59416053,-121.9771143,3380,7464,855000
12747,12747,3,2.5,2290,5089,2.0,0,3,0,2001,0,98006,47.5442852,-122.1715366,2290,7984,585000
9992,9992,4,2.75,2190,3267,2.0,0,3,0,2004,0,98072,47.77506389,-122.1680281,2190,3619,465000
2777,2777,3,2.5,3560,11448,2.0,0,3,0,1997,0,98052,47.71257041,-122.1042291,3290,11506,843500
7575,7575,4,2.0,2190,14439,1.0,0,4,1010,1977,0,98001,47.2702066,-122.2904598,2160,14439,280000
17357,17357,3,3.5,4410,10756,2.0,1,3,980,2014,0,98056,47.52830064,-122.2051299,3550,5634,3000000
9117,9117,3,2.5,1640,5707,2.0,0,3,0,1995,0,98031,47.40155344,-122.2092812,1850,5827,300000
693,693,3,1.0,1250,7210,1.0,0,4,0,1964,0,98008,47.6328943,-122.1208612,1530,8800,345000
11282,11282,3,2.5,1640,3804,2.0,0,3,0,1998,0,98122,47.61029614,-122.3004599,1440,3230,602000
4069,4069,3,1.0,1050,9876,1.0,0,3,0,1953,0,98028,47.76350822,-122.2617861,1760,9403,310000
14325,14325,4,2.5,2170,7700,1.0,0,3,750,1969,0,98034,47.72161571,-122.2186002,1710,7770,465000
6671,6671,5,3.25,2590,6180,1.0,0,3,1260,1960,0,98118,47.55095507,-122.2723703,1560,6180,599000
5601,5601,3,2.0,1430,7905,1.0,0,4,0,1988,0,98092,47.27571683,-122.1454288,1870,8400,200000
7027,7027,3,2.75,2680,20104,1.0,0,5,860,1964,0,98039,47.630364,-122.2342691,3060,19837,1320000
13144,13144,4,3.0,1790,3600,1.5,0,3,0,1901,0,98122,47.61172941,-122.3133487,1770,3119,546000
14490,14490,2,1.0,1460,4200,1.0,0,4,580,1914,0,98117,47.67736774,-122.3608169,1540,4200,415000
11908,11908,2,1.0,790,5985,1.0,0,3,0,1944,0,98178,47.4941449,-122.2395981,1030,5985,200000
959,959,3,2.5,1560,4100,2.0,0,3,0,1985,0,98055,47.47328421,-122.1894464,1660,4400,303000
639,639,2,2.5,2380,6600,1.0,0,3,0,2010,0,98053,47.71699562,-122.0196073,1870,6600,699800
3235,3235,4,2.5,2500,8680,1.0,0,4,1250,1958,0,98004,47.60733826,-122.191562,2140,8680,772000
14951,14951,4,2.5,3350,11688,1.0,0,3,1590,1995,0,98006,47.55067038,-122.1330809,4240,10804,1200000
10406,10406,3,2.0,1480,2502,2.0,0,3,0,1991,0,98103,47.69691732,-122.3383928,1850,5000,355000
1217,1217,3,2.0,2040,5600,1.0,0,5,920,1954,0,98144,47.59594815,-122.2929197,2120,4958,535000
5632,5632,4,3.0,3310,217800,1.5,0,3,0,1989,0,98053,47.66156736,-121.9993479,2810,217800,1250000
16580,16580,2,2.5,1900,4871,2.0,0,3,0,2005,0,98053,47.71316251,-122.0335107,1640,4780,504975
6985,6985,4,4.5,5030,11023,2.0,0,3,1780,2008,0,98040,47.57216231,-122.2358025,3640,11490,2450000
11387,11387,3,1.75,1660,10000,1.0,0,3,0,1972,0,98019,47.74098108,-121.9784208,1770,10000,331292
7333,7333,3,3.5,2500,4270,2.0,0,3,0,2000,0,98065,47.53600039,-121.8765118,2420,4205,538500
17721,17721,3,2.5,1930,4000,2.0,0,3,0,2014,0,98001,47.35176661,-122.27482,2050,4000,345500
10589,10589,1,1.0,620,8261,1.0,0,3,0,1939,0,98106,47.51384363,-122.3642132,1180,8244,148000
18141,18141,3,2.5,2240,21477,2.0,0,3,0,1995,0,98006,47.57448206,-122.1801799,2930,21569,1080000
9636,9636,3,1.5,2700,24539,2.0,0,3,580,1977,2014,98019,47.73484987,-121.9839033,1830,11000,524950
9918,9918,3,1.0,900,10511,1.0,0,4,0,1961,0,98001,47.28825076,-122.2719255,1460,10643,178500
5494,5494,3,2.25,1580,7034,1.0,0,4,400,1989,0,98038,47.35640824,-122.0395917,1470,7358,284000
17083,17083,3,2.25,1190,1137,2.0,0,3,230,1999,0,98115,47.67702548,-122.3246908,1190,1080,475000
15210,15210,3,1.75,1360,5850,1.0,0,4,360,1938,0,98116,47.5711443,-122.3910601,1540,5850,550000
7346,7346,5,4.0,1400,8580,1.0,0,5,500,1954,0,98188,47.45602827,-122.2916234,1220,8832,265000
12354,12354,3,1.75,2300,6200,1.0,0,4,1150,1970,0,98198,47.41763807,-122.3226174,1740,6600,325000
4575,4575,3,2.0,1910,9001,1.0,0,4,0,1957,0,98008,47.60366036,-122.1190164,2040,8700,554000
4522,4522,4,2.5,2140,7095,2.0,0,3,0,1992,0,98038,47.35281373,-122.0566111,1600,7182,350000
18284,18284,3,2.5,2517,3900,2.0,0,3,0,2014,0,98092,47.32114419,-122.1823855,2390,7108,353900
3818,3818,3,1.0,1140,4560,1.0,0,4,370,1944,0,98117,47.68889789,-122.3622866,1340,3980,474000
9669,9669,2,1.5,1010,1309,2.0,0,3,150,2007,0,98118,47.56588741,-122.2858769,1190,3060,289000
3870,3870,3,3.5,3380,108900,2.0,0,3,680,1999,0,98058,47.43163175,-122.0750475,2250,130680,554000
13171,13171,5,3.5,3672,9742,2.0,0,3,666,2006,0,98092,47.32552237,-122.1915796,2140,9118,405000
8888,8888,2,0.5,580,6900,1.0,0,3,0,1941,0,98118,47.5134804,-122.2623574,1570,5040,109000
8630,8630,4,2.75,3770,24897,2.0,0,4,1220,1964,0,98075,47.58240352,-122.0780395,2640,11502,940000
12946,12946,4,2.75,4280,12668,2.0,0,3,380,1947,2008,98004,47.61848929,-122.219284,3590,12670,1900000
14591,14591,3,2.5,3110,6000,1.0,0,3,1550,1967,0,98106,47.53307689,-122.3531143,2060,6000,435000
13813,13813,2,1.0,720,7500,1.0,0,3,0,1925,0,98136,47.51848341,-122.391897,1390,5000,447000
1820,1820,4,1.75,2210,19025,1.0,0,4,750,1952,0,98004,47.59269018,-122.2029359,2640,14999,950000
11119,11119,4,2.75,2630,15000,1.0,0,4,940,1976,0,98072,47.74252675,-122.0885988,1800,16500,500000
15925,15925,3,2.25,2090,45535,1.0,0,5,810,1952,0,98006,47.55384247,-122.1910019,3090,12889,693000
11078,11078,3,1.0,1040,7288,1.0,0,3,0,1959,0,98125,47.72870919,-122.3109669,1160,7287,324950
8774,8774,4,2.25,2170,7007,1.0,0,3,630,1974,0,98033,47.67204234,-122.1685273,2040,7700,562000
13681,13681,2,1.0,1480,6210,1.0,0,3,400,1950,0,98133,47.77400047,-122.3510177,1290,7509,331000
18297,18297,4,2.5,2708,4772,2.0,0,3,0,2014,0,98092,47.3413497,-122.17821,2502,4900,436952
11819,11819,3,1.75,1520,8100,1.0,0,5,760,1945,0,98117,47.69656566,-122.3750509,1040,8100,475000
2640,2640,2,1.0,670,6000,1.0,0,5,0,1949,0,98118,47.56100103,-122.2754466,1240,5040,415000
16625,16625,5,3.5,3520,5400,2.0,0,3,1120,2008,0,98119,47.63639986,-122.3633235,1360,3600,1500000
4625,4625,5,2.75,2330,8000,1.0,0,4,780,1972,0,98052,47.66513355,-122.144173,1750,8419,665000
8457,8457,4,1.0,1530,5684,1.0,0,3,400,1957,0,98108,47.55067562,-122.2981106,1540,6095,325000
7344,7344,3,3.25,2420,1923,2.0,0,3,580,2006,0,98109,47.6369866,-122.3412448,1840,2890,1010000
12702,12702,2,1.0,1010,4000,1.0,0,3,0,1947,0,98136,47.53106225,-122.3822731,1480,4366,337000
3479,3479,1,1.0,790,13062,1.0,0,3,0,1942,0,98168,47.49192879,-122.3110666,1240,7137,135000
11807,11807,3,2.5,1690,1553,2.5,0,3,0,2007,0,98199,47.64434808,-122.3854781,1910,1553,640000
11919,11919,3,1.75,1270,8422,1.0,0,3,0,1967,0,98011,47.76005584,-122.1965867,1470,8500,340000
17006,17006,2,3.0,2210,3917,2.0,0,3,710,2008,0,98122,47.61662328,-122.2905744,1720,3933,1262000
12401,12401,2,1.0,960,7000,1.0,0,3,0,1918,0,98198,47.38638585,-122.3072103,1850,8120,95000
7876,7876,3,2.0,1050,18304,1.0,0,4,0,1953,0,98001,47.32058646,-122.2689077,1690,15675,169100
10136,10136,2,1.0,910,6000,1.0,0,3,0,1943,0,98118,47.52532052,-122.2660862,1460,5800,254000
14459,14459,4,2.5,3280,7100,2.0,0,3,1100,1911,1987,98119,47.62852488,-122.3624545,3240,6674,2300000
17483,17483,3,3.25,1380,1234,3.0,0,3,0,2006,0,98103,47.69351862,-122.3421399,1370,1282,379000
5445,5445,4,4.0,3610,12811,2.0,0,3,0,2000,0,98075,47.58120122,-121.9932875,3530,11783,870000
7224,7224,4,3.25,3020,13457,1.0,0,5,0,1956,0,98133,47.71740083,-122.3357735,2120,7553,808100
14902,14902,3,1.75,1580,9049,1.0,0,3,0,1966,0,98177,47.77762383,-122.3746689,2100,8446,389950
11514,11514,3,2.5,3720,11610,2.0,0,3,0,1982,0,98074,47.63598143,-122.0491439,3530,11877,1080000
12524,12524,2,1.5,1140,7620,1.0,0,4,0,1925,0,98106,47.52765384,-122.3508448,1300,7620,379900
11968,11968,5,3.0,2230,4400,2.0,0,3,500,1913,0,98102,47.64036211,-122.3249457,1280,1800,920000
3549,3549,4,2.0,2260,6000,1.0,0,3,830,1958,0,98115,47.68755279,-122.2978882,2030,5874,628000
11488,11488,4,1.75,2030,7350,1.0,0,3,0,1966,0,98008,47.6273664,-122.0935272,2000,7998,565000
305,305,4,1.5,1550,19800,1.0,0,4,500,1969,0,98001,47.31170627,-122.2695773,1640,22654,252000
15501,15501,4,2.5,3010,46173,2.0,0,3,0,1996,0,98053,47.6470579,-121.9640048,2590,49222,700000
16167,16167,4,2.0,1780,12161,1.0,0,5,620,1950,0,98155,47.77459581,-122.3228909,1780,8170,415000
12819,12819,4,2.5,1910,7201,1.0,0,3,700,1987,0,98198,47.39082664,-122.3163507,1690,7554,340000
12011,12011,4,2.5,2430,6796,2.0,0,3,0,1993,0,98058,47.44986755,-122.1272896,2450,8400,412950
15818,15818,4,1.75,2420,37800,1.0,0,4,540,1981,0,98053,47.66878535,-122.0241918,2780,35532,602000
13370,13370,4,1.75,2290,10290,1.0,0,3,950,1960,0,98146,47.5045238,-122.3687025,1800,7605,343000
12839,12839,3,2.5,2014,4500,2.0,0,3,0,2005,0,98001,47.33709613,-122.2557471,2014,4500,321000
9708,9708,4,2.5,2070,7476,2.0,0,3,0,2003,0,98092,47.33524316,-122.1891186,2430,5500,300000
5454,5454,3,2.25,1830,25641,2.0,0,3,0,1989,0,98059,47.47862034,-122.1119024,1500,25641,379500
3611,3611,3,3.25,2250,60548,1.0,0,3,0,2005,0,98038,47.42455703,-122.0138891,2760,84070,729000
2182,2182,3,2.5,2860,43821,2.0,0,4,0,1990,0,98092,47.31625732,-122.1415313,2370,65340,378500
4816,4816,4,2.5,2200,110642,1.0,0,5,870,1979,0,98077,47.74091928,-122.0517498,2290,51400,535000
14049,14049,2,1.0,1160,8504,1.0,0,4,0,1949,0,98155,47.73635709,-122.2948329,1320,8504,345000
8229,8229,2,1.0,870,4025,1.0,0,3,0,1981,0,98034,47.72430097,-122.161204,1370,3488,280000
2570,2570,3,1.0,1310,9529,1.0,0,3,0,1956,0,98198,47.41050292,-122.2954427,1330,9529,235000
5711,5711,4,2.25,2100,2500,3.0,0,3,0,2001,0,98115,47.67262025,-122.2981942,1660,4000,650000
198,198,4,1.0,1970,4740,1.5,0,3,300,1904,2005,98122,47.61360412,-122.3033789,1510,4740,410000
8135,8135,4,2.5,2160,7826,1.0,0,4,770,1976,0,98155,47.77540353,-122.2755001,2190,9900,440000
5809,5809,3,3.25,4030,12765,2.0,0,4,1230,1975,0,98005,47.63307897,-122.1660637,2670,13447,890000
4075,4075,4,1.75,2220,6500,2.0,0,4,0,1964,0,98166,47.45192456,-122.3746716,2430,11600,480000
3502,3502,4,2.5,2506,6232,2.0,0,3,0,2006,0,98030,47.37339191,-122.1819973,2070,8260,365070
13552,13552,3,1.0,1390,4820,1.0,0,4,480,1926,0,98133,47.70403641,-122.3429493,1320,4820,350000
736,736,3,2.25,1420,8549,2.0,0,4,0,1989,0,98038,47.35757875,-122.0393105,1560,7471,275000
16186,16186,3,2.25,1980,8755,1.0,0,4,680,1963,0,98198,47.3922495,-122.3207774,2030,8671,309000
2798,2798,3,1.0,1090,7315,1.0,0,5,0,1981,0,98056,47.49398977,-122.1646526,1090,5800,289000
15083,15083,4,2.25,2000,8068,2.0,0,5,0,1976,0,98006,47.55837396,-122.1371824,2080,7837,710000
17988,17988,4,2.5,2540,5001,2.0,0,3,0,2005,0,98108,47.54228262,-122.3018882,2360,6834,487000
17701,17701,3,2.5,1590,1431,2.0,0,3,530,2010,0,98144,47.58928455,-122.3090613,1620,1548,480000
17162,17162,4,4.5,4650,7660,2.0,0,3,1010,2008,0,98004,47.63494356,-122.1982606,1710,8400,1750000
17882,17882,4,2.5,3550,8618,2.0,0,3,0,2007,0,98052,47.6775995,-122.1608586,1310,9746,880000
10541,10541,3,1.5,1060,6954,1.0,0,4,0,1983,0,98106,47.54982169,-122.3551011,1560,6954,275000
3414,3414,2,2.0,1870,4950,1.0,0,3,0,2006,0,98053,47.71948655,-122.0222481,1670,4800,559950
6073,6073,4,3.5,4370,37193,2.0,0,3,1590,1996,0,98022,47.24095801,-121.9788057,2860,39356,473000
10162,10162,4,2.5,1640,6000,2.0,0,3,0,2011,0,98106,47.5590096,-122.3645304,1640,4800,464950
5478,5478,3,2.0,1060,7412,1.0,0,3,0,1987,0,98038,47.38969538,-122.0509815,1080,7093,211000
15862,15862,3,1.0,890,5200,1.0,0,3,0,1957,0,98118,47.55903244,-122.2772011,1420,6000,315000
5362,5362,4,1.75,3220,7392,1.0,0,4,1210,1959,0,98177,47.77189601,-122.3607791,1660,8363,485000
7976,7976,4,1.75,2210,6375,1.0,0,3,570,1977,0,98003,47.32675977,-122.3278534,2070,7210,263500
14072,14072,2,1.0,1510,3844,1.0,0,4,0,1923,1970,98133,47.70382711,-122.3475707,1170,3844,335000
5336,5336,2,1.0,1180,10800,1.0,0,3,0,1984,0,98011,47.72731138,-122.2361634,1600,10800,400000
17408,17408,2,1.5,1100,1228,2.0,0,3,200,2007,0,98118,47.55380153,-122.2818324,1340,1380,343000
1421,1421,4,1.5,2820,4000,2.0,0,3,0,1911,0,98103,47.66380615,-122.3481327,1470,1627,635000
10224,10224,5,2.75,3260,11700,1.0,0,3,1630,1964,0,98008,47.61692893,-122.1038551,2860,11700,681500
4824,4824,3,1.0,1080,7000,1.0,0,4,0,1916,0,98133,47.76369749,-122.3509074,1410,7214,350000
16458,16458,3,1.5,1730,5750,1.0,0,3,480,1947,0,98116,47.56452213,-122.3965218,1370,5750,550000
11256,11256,3,1.0,1200,6825,1.0,0,3,0,1954,2013,98133,47.7490526,-122.3529552,1470,8100,402000
8677,8677,2,1.0,1410,5000,1.0,0,4,470,1918,0,98126,47.55311765,-122.3786677,1450,5000,442000
4823,4823,4,2.0,2300,8400,1.0,0,4,1150,1962,0,98003,47.32819689,-122.3324983,1230,8400,258750
1415,1415,8,5.0,2800,2580,2.0,0,3,920,1997,0,98122,47.60856731,-122.3030668,1800,2580,490000
16602,16602,2,3.0,2770,10800,1.5,0,5,860,1984,0,98074,47.60815635,-122.0572131,2140,10800,505000
4949,4949,4,2.5,2180,3375,1.5,0,4,760,1926,0,98117,47.68459694,-122.3609247,1560,3375,657000
8098,8098,3,1.0,1380,8147,1.0,0,4,0,1948,0,98155,47.74073533,-122.3004398,1360,8147,380000
17029,17029,4,2.5,2510,7245,2.0,0,3,0,2007,0,98146,47.50961697,-122.3626992,1830,8900,375000
15290,15290,3,1.0,1510,15022,1.0,0,3,0,1962,0,98003,47.33043339,-122.3036094,1510,12970,239000
17382,17382,4,2.5,2009,4800,2.0,0,3,0,2012,0,98092,47.25855046,-122.2000562,1798,4800,279000
17415,17415,5,4.25,4110,42755,2.0,0,3,1140,2000,0,98023,47.33754198,-122.3366379,2730,12750,734000
11494,11494,3,1.75,2340,10495,1.0,0,4,0,1967,0,98040,47.53863025,-122.2264336,3120,11068,780000
8634,8634,3,1.75,1850,2797,1.0,0,3,700,1977,0,98103,47.68711056,-122.3359928,1450,4599,580000
15873,15873,3,2.5,2470,10321,2.0,0,3,0,1988,0,98052,47.6694348,-122.1407938,2450,8440,732500
10439,10439,4,2.5,2910,5776,2.0,0,3,0,1998,0,98065,47.53881293,-121.8703654,2550,6750,589000
457,457,4,2.5,1970,5106,2.0,0,3,0,1999,0,98055,47.44902806,-122.2046165,2230,5109,346900
4935,4935,4,1.0,1390,10800,1.5,0,4,0,1941,0,98177,47.72477913,-122.3586451,1390,9360,417500
7603,7603,6,4.5,2810,11214,1.0,0,3,800,1958,0,98031,47.40451328,-122.196649,1940,8349,290000
9190,9190,7,3.5,2870,29699,1.0,0,3,1350,1961,0,98125,47.71529453,-122.3272568,1380,7555,475000
14643,14643,3,2.0,1640,4875,1.0,0,4,600,1977,0,98042,47.36606281,-122.0940468,1640,5200,231000
11621,11621,3,2.25,1860,12000,1.0,0,4,0,1976,0,98092,47.2942216,-122.19013,1815,9604,267500
13308,13308,4,1.0,1730,8706,1.0,0,4,720,1962,0,98058,47.45857368,-122.1746202,1369,8418,312000
17848,17848,5,3.5,4230,16526,2.0,0,3,0,2008,0,98004,47.59327915,-122.1994733,3000,12362,1940000
18428,18428,3,2.5,2540,4760,2.0,0,3,0,2010,0,98038,47.34518801,-122.0223131,2540,4571,347500
12882,12882,6,1.5,2140,36509,1.5,0,4,0,1903,1979,98001,47.26680384,-122.2517073,1710,12000,230000
16495,16495,4,2.5,2380,7792,2.0,0,3,0,1993,0,98092,47.32730313,-122.1725908,2260,7378,342000
4567,4567,3,2.5,2280,213879,2.0,0,3,0,1994,0,98038,47.42131779,-122.0332976,2380,178160,364250
