,num_bed,num_bath,size_house,size_lot,num_floors,is_waterfront,condition,size_basement,year_built,renovation_date,zip,latitude,longitude,avg_size_neighbor_houses,avg_size_neighbor_lot,Label
22,4,2.5,1630,3060,2.0,0,3,0,2003,0,98146,47.5071519,-122.3361184,1270,4590,236720.11175316756
23,2,1.0,910,2002,1.5,0,3,0,1900,0,98112,47.61876056,-122.3063365,1190,1208,441937.96377631905
24,3,1.0,920,4770,1.0,0,4,0,1969,0,98042,47.36535156,-122.0822473,920,4770,173004.3078825117
25,4,2.25,2030,8517,1.0,0,4,650,1961,0,98006,47.54945834,-122.1735014,2230,8824,553657.366736389
26,4,2.5,3290,6012,2.0,0,3,0,2005,0,98075,47.5961141,-121.9803421,3210,6005,745965.9384394442
27,3,1.75,1840,10723,1.0,0,4,620,1974,0,98058,47.42902307,-122.1541695,1590,9820,301884.9417896208
28,3,2.5,2390,15669,2.0,0,3,0,1991,0,98011,47.74463842,-122.1933044,2640,12500,557210.145156657
29,5,3.0,2795,15101,2.0,0,3,0,1996,0,98019,47.73009473,-121.9716899,2750,14567,562045.7084702293
30,3,1.75,2590,32380,1.0,0,3,0,1951,1994,98177,47.75386162,-122.3695758,2340,28456,597348.9317279605
31,4,2.5,2850,37522,2.0,0,3,0,1987,0,98075,47.5851941,-121.9923604,2980,35280,739761.1603977163
32,2,1.0,1240,8100,1.5,0,3,0,1925,0,98125,47.73259349,-122.2879824,2790,8100,428066.91349183605
33,4,2.5,1920,7345,2.0,0,3,0,1992,0,98038,47.35259846,-122.0546086,1860,7364,307661.30486823566
34,3,2.5,2710,13120,1.0,0,3,0,1959,0,98105,47.67178371,-122.2558342,3130,13566,892624.4826449913
35,3,2.25,1580,1487,3.0,0,3,0,2013,0,98199,47.65142085,-122.385531,1600,1525,542308.5461268162
36,4,2.5,3250,6933,2.0,0,3,0,2009,0,98059,47.49561183,-122.1507861,3030,5308,584622.850271361
37,4,2.25,1920,11603,2.0,0,4,0,1967,0,98058,47.43148059,-122.1692124,1840,7350,319827.0934808898
38,3,1.0,1020,8484,1.0,0,3,0,1949,0,98155,47.77187511,-122.3103348,1180,9660,291083.42496217793
39,2,1.75,1640,4176,1.0,0,4,600,1948,0,98118,47.51624123,-122.2596041,1460,5200,293089.1515000477
40,3,1.5,1540,11858,1.0,0,4,0,1966,0,98059,47.47545006,-122.1572435,1550,11473,299686.95193881914
41,4,2.25,1770,33132,1.0,0,4,580,1965,0,98058,47.44125375,-122.1506522,2490,20000,345068.17268588097
42,4,3.0,2900,15535,1.0,0,4,1030,1961,0,98008,47.61199586,-122.1191869,2330,10217,690313.0068167674
43,3,1.75,1610,11950,1.0,0,3,400,1984,0,98052,47.67048339,-122.1380454,1610,9363,483916.97466554545
44,3,1.75,1580,3764,1.5,0,3,300,1945,0,98107,47.67204785,-122.3967806,1560,3764,562918.0314399305
45,5,3.0,2230,8560,1.0,0,3,1080,1960,2014,98008,47.6154215,-122.114746,2040,8560,545463.7046353924
46,2,1.5,2700,7225,1.5,0,3,1040,1910,2008,98116,47.58924093,-122.3831164,2970,5150,853365.3945239017
47,5,2.0,1870,13970,1.0,0,4,750,1969,0,98027,47.52428887,-122.0424505,1860,13970,456343.29476339795
48,4,2.5,2230,5000,1.0,0,3,580,2006,0,98059,47.47993735,-122.1286558,2090,4637,395285.63002047234
49,3,2.0,3200,18184,1.0,0,5,1200,1977,0,98005,47.60336388,-122.1719677,1670,7416,834460.7212555357
50,5,2.75,2870,4461,1.0,0,3,1220,1976,0,98107,47.67495355,-122.3904498,1890,4196,734050.2700959446
51,3,2.25,2950,7232,1.0,0,3,1430,1983,0,98136,47.52573034,-122.3823602,2130,7140,706445.3612346795
52,3,2.25,1890,12236,1.0,0,3,0,1978,0,98074,47.62318167,-122.0474039,2390,12323,488625.7287967621
53,3,1.75,1630,15600,1.0,0,3,0,1958,0,98033,47.68003194,-122.1651976,1830,10850,474350.6207891997
54,4,3.0,2990,6695,2.0,0,3,0,2014,0,98075,47.58172769,-122.0467946,2760,6600,800151.8128074217
55,4,2.5,2470,5100,2.0,0,3,0,2005,0,98038,47.36224094,-122.041186,2240,5123,358100.88332368137
56,4,2.5,2060,5607,2.0,0,3,0,2002,0,98058,47.43654981,-122.1444799,2060,5367,354547.80794785795
57,3,1.75,1400,3825,1.5,0,4,300,1904,0,98117,47.67927485,-122.3925281,1720,5100,505633.49164129357
58,4,1.75,1830,12540,1.0,0,4,700,1958,0,98003,47.3348366,-122.3235277,2020,12540,274826.1752238559
59,3,2.25,2640,7544,1.0,0,3,0,1995,0,98004,47.62236624,-122.1951872,2650,7904,993620.5095933543
60,3,2.5,2270,5654,2.0,0,3,0,1999,0,98133,47.77334941,-122.3507815,1770,7840,451938.33256250696
61,3,2.5,1680,2096,2.0,0,3,300,2008,0,98117,47.69036711,-122.3695649,1360,2096,512507.9706505053
62,2,2.25,3900,14864,1.0,0,3,1950,1947,0,98144,47.58838575,-122.2909151,2580,5184,911127.4163133849
63,3,1.0,940,8400,1.0,0,5,0,1958,0,98056,47.51121239,-122.1671283,950,8400,258576.10151928666
64,4,2.75,3800,9606,2.0,0,3,0,2008,0,98011,47.73680479,-122.2081135,3400,9677,788463.2983074534
65,2,1.0,1290,3140,2.0,0,3,0,2008,0,98053,47.69714396,-122.0256483,1290,2628,363428.14752595226
66,5,1.75,1950,8720,1.0,0,3,900,1962,0,98001,47.33814834,-122.2889659,1660,8030,238754.5162134022
67,3,2.0,1880,3048,2.0,0,4,0,1902,0,98122,47.6031064,-122.3027688,1680,3600,546306.1711531931
68,4,2.75,2610,9426,1.0,0,3,1250,1965,0,98188,47.44348656,-122.2789367,1600,9426,324276.62058642565
69,2,1.0,770,7554,1.0,0,3,0,1946,0,98177,47.7057462,-122.3597361,1390,7500,331983.8102288276
70,2,1.0,1400,8220,1.0,0,3,0,1949,0,98133,47.72275397,-122.3572085,1760,8220,389660.1862890277
71,4,2.5,2448,4949,2.0,0,3,0,2014,0,98030,47.34281506,-122.1787344,2815,5446,403744.78149061784
72,2,2.5,1520,1588,2.0,0,3,280,2007,0,98144,47.58253959,-122.31289,1660,6000,448680.61336393445
73,2,1.0,880,3000,1.0,0,3,0,1924,0,98115,47.67489253,-122.3225153,890,3000,420072.30823573534
74,4,2.0,2930,12840,1.5,0,4,0,1965,0,98092,47.29570132,-122.1865827,1960,10920,295342.91994566296
75,3,2.5,2180,5000,1.0,0,4,940,1977,0,98116,47.58284648,-122.3963665,2000,5000,664282.9822857755
76,2,1.0,820,5040,1.0,0,3,0,1953,0,98199,47.64975212,-122.3878056,1730,5760,422520.86151727673
77,4,1.0,1760,8906,1.0,0,3,530,1966,0,98055,47.42877639,-122.1980656,1180,10407,270709.9829398663
78,3,3.25,3870,11000,2.0,0,3,900,1991,0,98106,47.55447535,-122.3543805,2970,11000,881783.6939990864
79,2,1.75,1330,6000,1.0,0,4,370,1914,1945,98199,47.65385675,-122.3963408,1620,6000,526916.5852702372
80,4,2.5,2730,7649,2.0,0,3,0,2006,0,98065,47.54405571,-121.8817883,2730,6216,565851.8262228209
81,3,2.5,2830,6000,1.0,0,3,1100,1954,0,98126,47.57514394,-122.3778014,2040,5300,661071.004554485
82,2,1.0,1240,12092,1.0,0,3,280,1922,1984,98146,47.49574477,-122.3522602,1820,7460,277438.44326751505
83,3,2.25,1870,4894,2.0,0,4,120,1992,0,98033,47.69428764,-122.1899646,1920,5988,604314.1813650217
84,4,2.25,1900,8272,1.0,0,4,440,1966,0,98040,47.58032469,-122.2266174,2040,8479,723846.1200744526
85,4,2.0,3140,10437,1.0,0,4,1100,1959,0,98040,47.57855557,-122.2291229,2010,10437,869317.0279245684
86,3,1.75,1940,167125,1.0,1,4,460,1955,0,98070,47.45904644,-122.5040445,1910,127195,442914.04199384677
87,3,1.0,2050,4800,2.0,0,3,100,1922,0,98112,47.6315445,-122.3109333,2220,4800,817226.5367327596
88,3,1.75,1380,7350,1.0,0,3,390,1981,0,98042,47.36901066,-122.0933749,1660,8400,240216.33020246137
89,3,1.75,1320,7725,1.0,0,3,0,1978,0,98058,47.44254752,-122.1334821,2020,7210,276315.2777747116
90,3,2.5,2280,3710,1.0,0,3,730,1990,0,98072,47.73503212,-122.1587785,2030,3710,481315.0639741712
91,4,3.5,4083,68377,2.0,0,3,0,2005,0,98001,47.31139879,-122.2619753,2430,41382,561204.153951895
92,3,2.0,1660,3600,1.0,0,3,660,1939,2006,98103,47.67888869,-122.3509714,1700,4356,605802.5157380229
93,3,1.0,1520,8450,1.0,0,2,400,1961,0,98023,47.32795545,-122.3374107,1320,8450,208480.1229867221
94,3,1.75,2490,7210,1.0,0,3,1200,1972,0,98034,47.72598996,-122.1977481,1610,7210,487827.6840991384
95,5,2.0,2500,15250,2.0,1,5,0,1942,0,98008,47.58828027,-122.1108812,1880,18782,638786.0485276692
96,4,3.0,4190,8805,2.5,0,5,700,1928,0,98112,47.61808819,-122.2836099,3780,8558,1218749.5658035509
97,3,1.0,1200,5650,1.5,0,3,0,1928,0,98178,47.50651625,-122.2491315,1610,5650,244870.40779472524
98,3,1.75,1810,10800,1.0,0,5,600,1968,0,98056,47.52362543,-122.1838879,1800,10800,410905.1095159143
99,3,1.0,1520,6500,1.0,0,3,530,1958,0,98198,47.41637134,-122.3316697,1500,7500,240769.74949994968
100,5,2.75,1970,5400,1.0,0,3,650,1986,0,98144,47.5868205,-122.3077939,1280,2150,508007.86076333147
101,3,1.0,1110,7962,1.0,0,3,0,1962,0,98146,47.50349328,-122.3601729,1200,8094,243601.25612430394
102,3,1.75,2000,12669,1.0,0,4,800,1965,0,98070,47.35794264,-122.4464824,1580,12055,359033.8635210651
103,5,3.0,2240,15435,1.0,0,5,850,1952,0,98155,47.74259562,-122.2875607,2240,10750,563189.007223482
104,3,2.25,1960,1985,2.0,0,3,210,2003,0,98118,47.54168658,-122.2890937,1760,1985,365992.5006992935
105,2,1.0,810,4800,1.0,0,3,0,1919,0,98118,47.56139698,-122.2703859,1040,4800,365751.17880867707
106,3,1.75,1520,7252,1.0,0,3,380,1975,0,98072,47.73581046,-122.1747524,1910,7820,390626.4317064925
107,3,2.5,2040,9765,2.0,0,3,0,1985,0,98023,47.30900766,-122.348838,2350,10150,298375.39630164724
108,4,2.5,2540,5930,2.0,0,3,0,2003,0,98199,47.64511247,-122.3873014,1400,4000,829868.518981455
109,4,2.5,2260,13755,1.0,0,4,0,1975,0,98042,47.37669693,-122.1608584,2650,13650,351570.46056146035
110,3,2.5,2790,16173,2.0,0,3,0,1988,0,98023,47.30434693,-122.342608,2890,11632,421808.89223282336
111,2,1.75,1060,1202,2.0,0,3,300,2003,0,98136,47.54257531,-122.3876419,1060,1493,328618.4600851954
112,4,1.75,2500,7690,1.0,0,3,1250,1973,0,98155,47.77132742,-122.3065529,2040,8646,424133.9011687787
113,2,1.0,1030,3060,1.0,0,4,240,1918,0,98103,47.67793919,-122.352983,1390,3060,476775.219701851
114,3,2.5,1880,6008,2.0,0,3,0,2009,0,98042,47.33655531,-122.0520664,2180,5185,303184.7659976225
115,3,1.0,1330,10500,1.0,0,3,370,1963,0,98034,47.72042654,-122.1963516,1460,11550,375506.764847675
116,3,2.5,2370,6840,2.0,0,3,0,1987,0,98119,47.65030737,-122.3659372,1590,4400,728674.5906516525
117,4,1.75,1780,2788,1.0,0,4,890,1943,0,98199,47.65114598,-122.3997835,1760,5664,605387.8220356872
118,3,2.25,1960,6500,2.0,0,4,0,1977,0,98052,47.66423748,-122.1292084,1860,6160,533173.757492896
119,6,2.0,2210,9870,2.0,0,4,0,1969,1995,98059,47.47511366,-122.1451117,1390,9912,334127.50485866854
120,3,2.75,2470,10125,2.0,0,3,0,1960,2012,98040,47.5651339,-122.223294,2290,10125,796687.9607135796
121,2,1.0,970,10423,1.0,0,3,0,1947,0,98133,47.7252492,-122.330655,1200,7857,303465.3130017408
122,3,1.0,1060,8040,1.0,0,4,0,1949,0,98125,47.71211727,-122.2868614,1300,7620,411733.3865352608
123,6,2.25,4910,6600,2.5,0,5,1330,1910,0,98102,47.64580652,-122.3199959,3280,5500,1173560.157791108
124,4,2.75,2640,35070,1.5,0,3,0,1963,0,98058,47.42416953,-122.1805794,2520,34986,376983.1758696257
125,4,2.75,2500,26400,1.0,0,3,720,1977,0,98031,47.34438781,-122.0842446,2180,31900,382929.231742206
126,4,2.25,1770,7000,1.0,0,5,0,1972,0,98034,47.7193184,-122.2176223,1780,6500,488570.84512810525
127,3,1.0,1300,10125,1.0,0,4,0,1959,0,98002,47.29208374,-122.2150074,1300,10125,211446.3427602574
128,3,2.5,1520,5649,2.0,0,4,0,1989,0,98034,47.72210542,-122.1620176,1540,5000,423225.3517271691
129,4,3.25,1980,9988,1.0,0,3,640,1980,0,98052,47.68826333,-122.1109205,1980,8972,527319.6921644121
130,3,1.75,1200,55321,1.5,0,5,0,1977,0,98010,47.3491725,-121.9350096,1910,54450,269072.92192222807
131,4,2.25,2110,12653,2.0,0,4,0,1972,0,98040,47.5359756,-122.224905,2350,10980,814743.7098861843
132,2,1.75,1440,5680,1.0,0,4,0,1978,0,98198,47.38246324,-122.3191412,1320,3547,245573.1559337344
133,4,2.5,2470,5044,2.0,0,3,0,2005,0,98155,47.77284424,-122.2712304,2790,5583,542594.7728701944
134,2,1.75,1900,13122,1.0,1,3,800,1954,0,98178,47.51209499,-122.247637,1650,13160,310792.73810314725
135,2,1.0,1620,6120,1.0,0,3,0,1951,0,98115,47.67306889,-122.3264714,1650,4590,609418.2644213182
136,3,1.5,1780,23819,1.0,0,3,0,1953,0,98168,47.49117176,-122.3124408,1130,14450,246142.59610110603
137,4,4.0,4430,31353,2.0,0,3,0,1998,0,98005,47.64222076,-122.1573602,3900,35237,1052645.904672548
138,5,3.25,4230,10260,2.0,0,3,370,1996,0,98027,47.55032626,-122.0811546,2980,10997,994178.9605751886
139,4,2.5,2090,11645,1.0,0,3,890,1962,0,98168,47.47588502,-122.2985897,1450,9481,268489.4789978309
140,2,1.0,880,1165,2.0,0,3,0,2005,0,98122,47.61915736,-122.2966714,1640,3825,491597.8767551276
141,4,2.5,1970,7098,2.0,0,3,0,2007,0,98038,47.3576106,-122.0582946,1970,5361,318639.59091993765
142,3,3.0,1430,1249,3.0,0,3,0,2003,0,98103,47.69711932,-122.3403709,1020,1112,371297.3055232641
143,4,2.5,2320,3974,2.0,0,3,0,1999,0,98065,47.53197333,-121.8795768,2620,4539,491718.46327734157
144,2,2.0,1350,1209,3.0,0,3,0,2013,0,98199,47.64903598,-122.382881,1310,982,484078.97047494753
145,4,1.0,1430,8400,1.0,0,3,700,1969,0,98072,47.74170723,-122.1719805,1310,8240,352422.9639888573
146,5,1.5,2830,4000,2.5,0,4,0,1918,0,98118,47.51321782,-122.2623427,1480,4000,341168.5160842713
147,4,1.75,1940,8990,1.0,0,4,380,1956,0,98034,47.70213108,-122.2408604,2310,11745,581011.6896208231
148,4,2.5,2920,252648,2.0,0,3,0,2002,0,98027,47.47841618,-122.0482534,2180,71874,575524.6809288954
149,4,3.25,1790,2460,2.0,0,4,690,2000,0,98106,47.53400007,-122.3462278,1260,4040,335384.7902856364
150,4,2.5,3560,5265,3.0,0,3,0,2014,0,98052,47.70471509,-122.1129235,3220,4892,863686.0526985913
151,4,2.5,3730,9847,2.0,0,3,0,1997,0,98075,47.58700685,-121.9756851,3490,10219,836917.9170523996
152,5,3.5,2100,5107,2.0,0,3,690,1999,0,98178,47.51076054,-122.2573079,1410,5650,337559.952467158
153,3,2.75,2150,6576,1.0,0,4,250,1926,0,98155,47.75385261,-122.3075764,2150,9071,464868.58823102666
154,3,2.0,1490,9000,1.0,0,4,0,1977,0,98006,47.54551745,-122.1839152,2190,9000,488749.0108195758
155,3,1.0,1240,6195,1.0,0,3,0,1948,0,98028,47.76810393,-122.2663704,1760,11080,329009.5372105969
156,2,2.25,2910,6110,2.0,0,4,0,1985,0,98136,47.52792496,-122.3867823,2090,5763,729002.3043864097
157,4,3.0,2580,9601,2.0,0,4,450,1992,0,98070,47.37255633,-122.4326933,1900,10092,447224.55952345976
158,4,2.25,2120,9680,2.0,0,4,0,1965,0,98003,47.33669221,-122.3319542,2360,9647,334737.21510891034
159,5,2.75,3750,8279,2.0,0,3,0,2001,0,98074,47.60393786,-122.0596496,3450,8279,825708.093467802
160,3,1.5,1370,8671,1.0,0,3,0,1955,0,98004,47.62167774,-122.1979934,1580,8671,738301.4859969175
161,4,1.75,1640,7194,1.5,0,4,160,1915,0,98011,47.7649432,-122.2050996,1440,9405,405520.825215253
162,4,1.75,1880,8800,1.0,0,3,750,1960,0,98168,47.51367859,-122.3327051,1340,8733,284108.99192657636
163,5,3.0,2260,6508,1.0,0,3,930,2003,0,98155,47.75082617,-122.3224025,1940,9450,485171.5475861206
164,3,2.75,1910,15508,1.0,0,3,700,1984,0,98023,47.31281445,-122.3447478,2450,7989,289104.0624942631
165,3,1.0,920,5546,1.0,0,2,0,1928,0,98125,47.71142207,-122.2844978,1300,5546,252711.53839530586
166,3,1.5,1480,21320,1.0,0,4,0,1967,0,98027,47.52336356,-122.0429143,1850,17825,430599.9070058656
167,3,1.75,1350,217852,1.0,0,3,250,1953,0,98022,47.26283153,-122.0304292,2190,217800,255036.2548551292
168,3,2.5,2570,5000,1.0,0,4,1090,1940,0,98105,47.65780394,-122.2845825,2420,5484,904692.4034971115
169,4,2.5,1160,16008,1.0,0,4,0,1989,0,98155,47.76432105,-122.2951506,1570,12645,350063.5492637353
170,3,2.5,2190,17108,2.0,0,3,0,1991,0,98019,47.73209748,-121.9641523,2400,14040,457119.29464027326
171,5,1.0,1170,6757,1.0,0,4,370,1944,0,98125,47.73322301,-122.3038921,1590,6794,343062.4708924119
172,4,2.25,2060,11385,1.0,0,4,860,1962,0,98023,47.31401341,-122.3625781,2110,11385,284669.8195245981
173,4,3.0,3220,8936,2.0,0,3,770,1990,0,98031,47.42082809,-122.2130755,2810,10500,467257.26377280796
174,3,1.0,1190,4120,1.0,0,3,0,1929,0,98118,47.55133916,-122.272035,1360,4635,370719.48118052614
175,3,1.75,1690,48096,1.0,0,3,0,1973,0,98053,47.67453941,-122.0608153,2070,35160,481684.84297359426
176,3,2.5,3170,12750,2.0,0,3,810,1995,0,98023,47.33840155,-122.3358674,2970,13125,474453.0278166778
177,4,2.5,2870,9292,2.0,0,3,330,1979,0,98058,47.45219699,-122.1230257,2590,7533,401838.48090973205
178,5,5.25,5090,23669,2.0,0,3,0,2006,0,98004,47.62970457,-122.2162665,3830,22605,1109689.189512312
179,4,2.25,2080,8000,1.0,0,3,690,1964,0,98008,47.62641588,-122.1130609,1800,7700,510499.10711873416
180,4,2.5,2940,7675,2.0,0,3,0,2004,0,98052,47.70539473,-122.1288487,3120,6574,779237.154314854
181,2,1.0,900,8000,1.0,0,4,0,1954,0,98198,47.42167334,-122.3170128,1240,8000,203423.16543043577
182,3,1.75,1330,9200,1.0,0,4,0,1973,0,98092,47.29164134,-122.1846451,1590,9200,208221.1644562319
183,3,2.75,3160,9072,2.0,0,3,0,2005,0,98056,47.51469616,-122.1770473,3160,9072,603963.1315614171
184,4,2.5,2950,48351,2.0,0,3,0,1986,0,98075,47.59378036,-122.0478204,2870,34417,747013.9173120726
185,3,1.0,1140,27760,1.0,0,4,0,1981,0,98027,47.5371736,-121.9720839,1690,87300,369870.78730452363
186,6,2.75,3610,10003,1.5,0,4,0,1966,0,98008,47.62612176,-122.1246229,2560,10004,744077.5416288264
187,4,2.5,2680,9928,1.0,0,4,1340,1974,0,98027,47.5219442,-122.0518903,2180,10478,532105.2038237676
188,4,2.5,2040,7412,2.0,0,3,0,1988,0,98074,47.63473295,-122.0259089,2050,7830,552702.0944644861
189,3,1.75,1250,10122,1.0,0,3,0,1994,0,98010,47.32765319,-122.0007649,1980,10175,278696.7411349189
190,5,2.0,1930,6120,1.5,0,3,0,1941,1969,98146,47.50727561,-122.3372445,1130,6120,278466.61057024205
191,2,1.0,820,6250,1.0,0,4,0,1922,0,98136,47.54789294,-122.3841245,1300,6250,388960.1944035855
192,3,2.0,1350,11150,1.0,0,3,240,1995,0,98045,47.44604535,-121.7757973,1290,10043,236162.12456209585
193,2,1.0,870,4000,1.0,0,3,0,1950,0,98126,47.5682361,-122.3742406,1690,4000,352911.3223772619
194,4,3.25,3980,10249,2.0,0,3,0,2011,0,98004,47.58727116,-122.1955933,2450,10912,1038110.7329196169
195,4,2.5,2920,14210,2.0,0,4,0,1978,0,98007,47.61962295,-122.1497773,2840,13702,787381.8827831947
196,5,2.0,2420,21000,1.5,0,3,0,1966,0,98033,47.67703095,-122.1651955,1940,8085,611944.6014164665
197,3,1.75,2070,9827,1.0,0,4,650,1967,0,98027,47.52198975,-122.0498152,2150,9827,478593.8444715734
198,5,4.5,4030,13474,2.0,0,3,0,2000,0,98075,47.58121643,-121.9954646,3860,12438,870845.4282667106
199,3,1.5,1240,9500,1.0,0,4,0,1955,0,98166,47.47557788,-122.3497824,1845,10125,309465.2412883447
200,5,3.5,3430,6872,2.0,0,3,600,2002,0,98031,47.40648201,-122.2069863,3650,6600,503851.92943328165
201,3,2.5,2740,18455,2.0,0,4,1230,1977,0,98040,47.5584696,-122.2145154,2840,16438,948757.3634917554
202,4,1.75,1590,10523,2.0,0,4,0,1922,0,98133,47.73577258,-122.3420431,1610,8568,382379.02097925055
203,4,2.25,2530,8736,1.0,0,4,1320,1958,0,98008,47.60489339,-122.1257417,1720,8500,553582.9815228838
204,3,2.25,1800,7371,1.0,0,3,520,1979,0,98072,47.75841798,-122.1452939,1960,7675,400715.1993318548
205,2,2.5,2600,5000,1.0,0,5,1300,1926,0,98126,47.58057818,-122.3788233,2260,5000,828074.7033678847
206,4,2.5,2300,11165,2.0,0,4,0,1979,0,98008,47.57939259,-122.1182189,2170,11165,624219.2027120646
207,3,1.75,1960,11931,1.0,0,3,980,1954,0,98118,47.54324705,-122.2722997,1460,4498,396342.9048832922
208,3,1.5,1230,10125,1.0,0,3,0,1960,0,98198,47.39702827,-122.299461,1970,10125,224254.59545368302
209,3,2.5,2040,3810,2.0,0,3,0,2006,0,98038,47.35369004,-122.0001468,2370,4590,322714.649630062
210,3,1.0,880,8976,1.0,0,4,0,1966,0,98023,47.30555606,-122.3678713,990,8760,172571.91862409387
211,3,1.0,1060,9506,1.0,0,3,0,1959,0,98125,47.73170885,-122.3096969,1520,8469,330606.7423595687
212,3,1.75,1880,16239,1.0,0,3,1000,1922,0,98115,47.7004099,-122.30441,1260,7528,486394.12605822517
213,3,2.25,2110,11319,2.0,0,4,0,1978,0,98072,47.74202904,-122.1047017,1860,11319,447463.7316939626
214,4,3.5,2980,3000,2.0,0,3,640,2008,0,98115,47.6768434,-122.3261749,1810,4545,1033477.1837890777
215,5,3.75,3570,14648,2.0,0,3,0,2005,0,98019,47.73770168,-121.9735653,3160,7882,626665.7855858377
216,4,3.0,2170,5764,2.0,0,3,0,1992,0,98029,47.56730616,-121.9989325,2010,5681,566342.9030430472
217,3,2.5,1820,4910,2.0,0,3,0,1993,0,98029,47.570262,-121.9959739,2090,6668,510964.98611325666
218,3,1.5,1190,10116,1.0,0,3,0,1968,0,98042,47.38504633,-122.0845103,1190,9905,210091.12960236846
219,3,2.5,1830,8022,2.0,0,3,0,1987,0,98074,47.61981733,-122.0439213,2030,7736,509452.7478446775
220,4,2.5,2590,4498,2.0,0,3,0,2004,0,98052,47.70465818,-122.1281432,2660,5238,668408.9220647137
221,3,2.75,2090,8354,2.0,0,3,0,2012,0,98019,47.73363488,-121.9646374,2280,6348,467932.47710139
222,4,1.75,2410,8400,1.0,0,3,810,1978,0,98011,47.73407879,-122.2004825,1850,8400,481119.9849628672
223,4,3.0,2090,5102,1.0,0,3,740,1994,0,98106,47.54274701,-122.3557349,2090,5102,439032.47096645116
224,5,2.75,4450,9600,2.0,0,3,800,2014,0,98011,47.73355251,-122.2103895,4000,9750,819320.4891922718
225,4,4.5,5250,48352,2.0,0,3,0,1998,0,98059,47.48575588,-122.1111367,2500,48352,754490.9786512309
226,3,1.75,1040,5650,1.0,0,5,0,1951,0,98178,47.51112434,-122.2561703,1290,5650,245671.08610159368
227,1,1.0,730,6890,1.0,0,4,0,1926,0,98055,47.46698026,-122.2150068,1790,7969,212585.83468019625
228,3,2.5,2390,4555,2.0,0,3,0,2006,0,98074,47.61985454,-122.0249886,2540,4500,629635.1739787158
229,6,3.0,2870,206474,2.0,0,3,540,1960,1985,98042,47.40101873,-122.0951713,2380,59677,357711.12416694174
230,2,1.0,1020,5130,1.0,0,4,0,1948,0,98002,47.30096967,-122.2262418,1200,6497,170221.9289822146
231,3,2.5,1780,4000,2.0,0,4,0,1995,0,98029,47.56773521,-122.0027907,1730,4000,497254.93618350744
232,4,2.0,1580,6250,1.0,0,3,720,1977,0,98155,47.76591602,-122.3096758,1580,6250,337943.34427932545
233,3,2.0,1670,7700,1.0,0,3,500,1972,0,98034,47.72495607,-122.1998206,1500,7875,420237.4032311692
